Grain Radius of Reference Sphere (µm);Normalized Density Input (-);Normalized Density Output (-)
0.3506951390278056;0.14038973284312464;0.18381990314957725
0.3541333266653331;0.141670386388596;0.18431579265500445
0.3575715143028606;0.1429551381702828;0.18481081568805036
0.3610097019403881;0.14424389896869386;0.18530495942409062
0.36444788957791563;0.1455365784602989;0.18579821105008024
0.3678860772154431;0.14683308523091898;0.186290557765212
0.3713242648529706;0.14813332678948699;0.1867819867815742
0.3747624524904981;0.14943720958218146;0.18727248532480975
0.3782006401280256;0.15074463900691581;0.18776204063477386
0.38163882776555313;0.15205551942819617;0.18825063996619365
0.38507701540308065;0.15336975419233154;0.18873827058932593
0.38851520304060816;0.1546872456430007;0.18922491979061548
0.39195339067813567;0.15600789513716617;0.18971057487335385
0.3953915783156632;0.15733160306133862;0.19019522315833712
0.39882976595319064;0.15865826884817627;0.19067885198452372
