Grain Radius of Reference Sphere (µm);Normalized Density Input (-);Normalized Density Output (-)
0.22316963392678535;0.12707506123003187;0.197611393668447
0.22535757151430286;0.1290612389786094;0.19892513265270698
0.22754550910182036;0.13106924674036605;0.20024292047665468
0.22973344668933787;0.13309914477680923;0.2015647244122761
0.23192138427685535;0.13515098990076613;0.20289051129439112
0.23410932186437286;0.13722483541412714;0.20422024752162765
0.23629725945189037;0.13932073104596726;0.20555389905745242
0.23848519703940788;0.1414387228910668;0.2068914314312623
0.24067313462692538;0.14357885334887252;0.20823280973953134
0.2428610722144429;0.14574116106292845;0.20957799864701912
0.24504900980196037;0.14792568086079444;0.21092696238803466
0.24723694738947788;0.15013244369451034;0.21227966476776045
0.2494248849769954;0.15236147658161325;0.2136360691636349
0.2516128225645129;0.15461280254675178;0.21499613852679295
0.2538007601520304;0.1568864405639281;0.21635983538356526
